304678fb79adc7d18bc570816e65c16f.(9, 6).Apex	so much packed in a small <e1>case</e1> and very <e2>affordable</e2>
-(e2, e1)
d460f81b43998cfb748cde2be9836aec.(15, 23).Apex	for the first few week this player was everything i expected it to be an <e1>affordable</e1> multi-format dvd player with a stylish slim <e2>case</e2> as advertised
-(e1, e2)
d460f81b43998cfb748cde2be9836aec.(15, 17).Apex	for the first few week this player was everything i expected it to be an <e1>affordable</e1> multi-format <e2>dvd</e2> player with a stylish slim case as advertised
-(e1, e2)
7b185dc9dc52f36cb42d1ebf9b7745f6.(27, 14).Apex	the front door is miss aligned on my unit and you have to manually <e1>life</e1> it up just so slightly for the door to close a very <e2>annoying</e2> thing after ahwile
-(e2, e1)
7b185dc9dc52f36cb42d1ebf9b7745f6.(27, 8).Apex	the front door is miss aligned on my <e1>unit</e1> and you have to manually life it up just so slightly for the door to close a very <e2>annoying</e2> thing after ahwile
-(e2, e1)
84b3210547b32bd5ab20ec53b3438380.(4, 13).Apex	there were a few <e1>attractive</e1> feature such as the small size and the <e2>layout</e2> of the remote
-(e1, e2)
84b3210547b32bd5ab20ec53b3438380.(4, 16).Apex	there were a few <e1>attractive</e1> feature such as the small size and the layout of the <e2>remote</e2>
-(e1, e2)
84b3210547b32bd5ab20ec53b3438380.(4, 10).Apex	there were a few <e1>attractive</e1> feature such as the small <e2>size</e2> and the layout of the remote
-(e1, e2)
83e9f5a06e9e14fe2fc55a1563f15ee0.(10, 0).Apex	<e1>ability</e1> to play most discs i tried dvd vcd dvd-r <e2>audio</e2> cd and it played all
-(e2, e1)
c82e6d350f624f918e300fffbbcad423.(7, 8).Apex	it will read and play all cd <e1>audio</e1> <e2>disc</e2>
-(e1, e2)
542d552b6a80169971106c0493d88457.(21, 23).Apex	when i hooked it up it only produced sound a cd played fine but with a dvd i only got the <e1>audio</e1> no <e2>picture</e2>
-(e1, e2)
83e9f5a06e9e14fe2fc55a1563f15ee0.(10, 8).Apex	ability to play most discs i tried dvd <e1>vcd</e1> dvd-r <e2>audio</e2> cd and it played all
-(e2, e1)
