0bf10edcdbe26b58e9aa01bf73526b56.(0, 1).Nikon	<e1>awesome</e1> <e2>camera</e2> with huge print quality in a tiny package
+(e1, e2)
c04938f6d553c4e369ea501705c0aff3.(4, 5).Nikon	it really is an <e1>awesome</e1> <e2>camera</e2> that is hard to beat for general-to moderate snapping
+(e1, e2)
0d8185b14013eb0f62080f7c2c1f1129.(5, 6).Nikon	setting for just about everything <e1>beautiful</e1> <e2>pic</e2> and beautiful print
+(e1, e2)
0d8185b14013eb0f62080f7c2c1f1129.(8, 6).Nikon	setting for just about everything beautiful <e1>pic</e1> and <e2>beautiful</e2> print
+(e2, e1)
0d8185b14013eb0f62080f7c2c1f1129.(8, 9).Nikon	setting for just about everything beautiful pic and <e1>beautiful</e1> <e2>print</e2>
+(e1, e2)
0d8185b14013eb0f62080f7c2c1f1129.(5, 9).Nikon	setting for just about everything <e1>beautiful</e1> pic and beautiful <e2>print</e2>
+(e1, e2)
d0daccfd58ec29fbb2753db534018ca5.(6, 7).Nikon	nikon 4300 i feel is the <e1>best</e1> <e2>camera</e2> out there for the feature and price
+(e1, e2)
0a97bbb3a0da722d9e48e3c05e77a24c.(6, 7).Nikon	in my opinion it 's the <e1>best</e1> <e2>camera</e2> for the money if you 're looking for something that 's easy to use small good for travel and provides excellent sharp image
+(e1, e2)
22acb9431eff5025a15adbaf9c736917.(1, 3).Nikon	the <e1>compact</e1> digital <e2>camera</e2> is especially useful if you have little child around and you can always take the camera with you and take many picture of them
+(e1, e2)
22acb9431eff5025a15adbaf9c736917.(1, 19).Nikon	the <e1>compact</e1> digital camera is especially useful if you have little child around and you can always take the <e2>camera</e2> with you and take many picture of them
+(e1, e2)
2d3d3d47aa5812c5767bcd8d62c2bc24.(7, 11).Nikon	if you 're looking for a small <e1>compact</e1> super resolution digital <e2>camera</e2> you can end your search with the nikon 4300
+(e1, e2)
